cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,group,prev_bad,curr_bad,either_bad
19453,2023,2024,0.9217,245155,277132,dropped_or_delisted,False,False,False
19550,2015,2016,0.4694,197284,103103,stayed,False,False,False
19550,2016,2017,0.4381,103103,255327,stayed,False,False,False
19550,2017,2018,0.9648,255327,259633,stayed,False,False,False
19550,2018,2019,0.9384,259633,254576,stayed,False,False,False
19550,2019,2020,0.8813,254576,279718,stayed,False,False,False
19550,2020,2021,0.9817,279718,280814,stayed,False,False,False
19550,2021,2022,0.9842,280814,263936,stayed,False,False,False
19550,2022,2024,0.9189,263936,281121,stayed,False,False,False
19569,2015,2016,0.7615,149530,149472,dropped_or_delisted,False,False,False
19569,2016,2017,0.9474,149472,164907,dropped_or_delisted,False,False,False
19569,2017,2018,0.9268,164907,185512,dropped_or_delisted,False,False,False
19569,2018,2019,0.9379,185512,193337,dropped_or_delisted,False,False,False
19569,2019,2020,0.931,193337,202699,dropped_or_delisted,False,False,False
19569,2020,2021,0.9522,202699,182755,dropped_or_delisted,False,False,False
19569,2021,2022,0.8463,182755,200096,dropped_or_delisted,False,False,False
19569,2022,2023,0.9106,200096,197717,dropped_or_delisted,False,False,False
19569,2023,2024,0.9094,197717,209006,dropped_or_delisted,False,False,False
19623,2015,2016,0.7347,165243,180133,dropped_or_delisted,False,False,False
19623,2016,2017,0.8344,180133,218100,dropped_or_delisted,False,False,False
19623,2017,2018,0.8005,218100,151096,dropped_or_delisted,False,False,False
19623,2018,2019,0.7925,151096,164240,dropped_or_delisted,False,False,False
19623,2019,2020,0.7543,164240,283469,dropped_or_delisted,False,False,False
19623,2020,2021,0.6423,283469,254133,dropped_or_delisted,False,False,False
19623,2021,2022,0.9431,254133,243593,dropped_or_delisted,False,False,False
19623,2022,2023,0.6895,243593,179270,dropped_or_delisted,False,False,False
19623,2023,2024,0.7946,179270,182936,dropped_or_delisted,False,False,False
19739,2020,2021,0.9898,193243,175865,stayed,False,False,False
19739,2021,2022,0.7725,175865,237155,stayed,False,False,False
19739,2022,2023,0.8911,237155,260488,stayed,False,False,False
19739,2023,2024,0.968,260488,251631,stayed,False,False,False
19763,2015,2016,0.9825,418696,476064,dropped_or_delisted,False,False,False
19763,2016,2017,0.906,476064,493059,dropped_or_delisted,False,False,False
19763,2017,2018,0.9893,493059,532834,dropped_or_delisted,False,False,False
19763,2018,2019,0.9863,532834,547244,dropped_or_delisted,False,False,False
19763,2019,2020,0.9924,547244,599606,dropped_or_delisted,False,False,False
19763,2020,2021,0.9863,599606,670871,dropped_or_delisted,False,False,False
19763,2021,2022,0.9898,670871,667055,dropped_or_delisted,False,False,False
19763,2022,2023,0.9891,667055,649477,dropped_or_delisted,False,False,False
19763,2023,2024,0.9932,649477,593041,dropped_or_delisted,False,False,False
19836,2015,2016,0.9749,207365,214117,stayed,False,False,False
19836,2016,2017,0.6343,214117,93932,stayed,False,False,False
19836,2017,2018,0.6476,93932,179425,stayed,False,False,False
19836,2018,2019,0.9645,179425,193087,stayed,False,False,False
19836,2019,2020,0.9229,193087,207729,stayed,False,False,False
19836,2020,2021,0.8857,207729,303881,stayed,False,False,False
19836,2021,2022,0.8689,303881,309670,stayed,False,False,False
19836,2022,2023,0.8756,309670,367080,stayed,False,False,False
19836,2023,2024,0.9289,367080,354216,stayed,False,False,False
19879,2015,2016,0.8919,36945,48065,dropped_or_delisted,False,False,False
19879,2016,2017,0.9202,48065,52340,dropped_or_delisted,False,False,False
