cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,group,prev_ok,curr_ok,both_ok
21237,2019,2020,0.8604,193041,172423,stayed,True,True,True
21237,2020,2021,0.9744,172423,195513,stayed,True,True,True
21350,2015,2016,0.9575,82902,83855,stayed,True,True,True
21350,2016,2017,0.3021,83855,229567,stayed,True,True,True
21350,2017,2018,0.2191,229567,69039,stayed,True,True,True
21350,2018,2019,0.9468,69039,47490,stayed,True,True,True
21350,2019,2020,0.4956,47490,63909,stayed,True,True,True
21350,2020,2021,0.3238,63909,167901,stayed,True,True,True
21350,2021,2022,0.8724,167901,216253,stayed,True,True,True
21350,2022,2023,0.5173,216253,169927,stayed,True,True,True
21350,2023,2024,0.8706,169927,184632,stayed,True,True,True
21431,2015,2016,0.9646,163056,167185,stayed,True,True,True
21431,2016,2017,0.7905,167185,190590,stayed,True,True,True
21431,2017,2018,0.7408,190590,187252,stayed,True,True,True
21431,2018,2019,0.9499,187252,168298,stayed,True,True,True
21431,2019,2020,0.9733,168298,175869,stayed,True,True,True
21431,2020,2021,0.9468,175869,188192,stayed,True,True,True
21431,2021,2022,0.9626,188192,187877,stayed,True,True,True
21431,2022,2023,0.964,187877,188791,stayed,True,True,True
21431,2023,2024,0.9753,188791,189007,stayed,True,True,True
21881,2018,2019,0.8572,134395,114204,stayed,True,True,True
21881,2021,2022,0.8953,125812,134847,stayed,True,True,True
21881,2022,2023,0.7913,134847,134524,stayed,True,True,True
21881,2023,2024,0.9088,134524,130569,stayed,True,True,True
22187,2015,2016,0.5389,97150,28834,stayed,True,True,True
22187,2016,2017,0.6098,28834,102212,stayed,True,True,True
22349,2015,2016,0.9602,125951,119775,stayed,True,True,True
22349,2016,2017,0.7327,119775,155461,stayed,True,True,True
22349,2017,2018,0.4923,155461,155515,stayed,True,True,True
22349,2018,2019,0.9885,155515,158551,stayed,True,True,True
22349,2021,2022,0.9266,240208,250988,stayed,True,True,True
22349,2022,2023,0.9079,250988,242411,stayed,True,True,True
22470,2018,2019,0.2396,176539,73238,stayed,True,True,True
22470,2019,2020,0.4697,73238,202003,stayed,True,True,True
22470,2020,2021,0.8512,202003,205280,stayed,True,True,True
22691,2015,2016,0.7868,124315,120297,dropped_or_delisted,True,True,True
22691,2020,2021,0.3919,189782,223887,dropped_or_delisted,True,True,True
22691,2021,2022,0.3022,223887,201606,dropped_or_delisted,True,True,True
22691,2022,2023,0.7983,201606,220995,dropped_or_delisted,True,True,True
22691,2023,2024,0.9397,220995,188736,dropped_or_delisted,True,True,True
23264,2020,2021,0.9915,307327,309775,stayed,True,True,True
23264,2021,2022,0.9904,309775,334134,stayed,True,True,True
23264,2022,2023,0.9814,334134,333729,stayed,True,True,True
23272,2015,2016,0.973,99236,108879,dropped_or_delisted,True,True,True
23272,2016,2017,0.9792,108879,110783,dropped_or_delisted,True,True,True
23310,2015,2016,0.9517,134257,160177,dropped_or_delisted,True,True,True
23310,2016,2017,0.1782,160177,27424,dropped_or_delisted,True,True,True
23310,2017,2018,0.6233,27424,194984,dropped_or_delisted,True,True,True
23310,2018,2019,0.8582,194984,254857,dropped_or_delisted,True,True,True
23310,2019,2020,0.7503,254857,186458,dropped_or_delisted,True,True,True
23310,2020,2021,0.9591,186458,160966,dropped_or_delisted,True,True,True
23310,2021,2022,0.9528,160966,148084,dropped_or_delisted,True,True,True
23310,2022,2023,0.9688,148084,153258,dropped_or_delisted,True,True,True
23310,2023,2024,0.9012,153258,130346,dropped_or_delisted,True,True,True
24112,2016,2017,0.9295,199157,179544,dropped_or_delisted,True,True,True
24112,2017,2018,0.9521,179544,199390,dropped_or_delisted,True,True,True
24112,2018,2019,0.9365,199390,215354,dropped_or_delisted,True,True,True
24112,2019,2020,0.6857,215354,160088,dropped_or_delisted,True,True,True
24112,2020,2021,0.8574,160088,160079,dropped_or_delisted,True,True,True
24112,2021,2022,0.7544,160079,155717,dropped_or_delisted,True,True,True
24112,2022,2023,0.8001,155717,183417,dropped_or_delisted,True,True,True
24171,2018,2019,0.9796,211126,193692,dropped_or_delisted,True,True,True
24171,2021,2022,0.9503,249861,281343,dropped_or_delisted,True,True,True
24171,2022,2023,0.9801,281343,278051,dropped_or_delisted,True,True,True
24171,2023,2024,0.9635,278051,273149,dropped_or_delisted,True,True,True
24252,2018,2019,0.9194,85016,98857,dropped_or_delisted,True,True,True
24252,2019,2020,0.9272,98857,91159,dropped_or_delisted,True,True,True
24260,2016,2017,0.9849,144683,148703,stayed,True,True,True
24260,2021,2022,0.9384,185825,159384,stayed,True,True,True
24260,2022,2023,0.9263,159384,187207,stayed,True,True,True
24260,2023,2024,0.9653,187207,191667,stayed,True,True,True
24295,2016,2017,0.8197,134333,136177,stayed,True,True,True
24295,2017,2018,0.8079,136177,156458,stayed,True,True,True
24295,2018,2019,0.9598,156458,142984,stayed,True,True,True
24295,2019,2020,0.8445,142984,158698,stayed,True,True,True
24295,2020,2021,0.6528,158698,164019,stayed,True,True,True
24295,2021,2022,0.822,164019,195753,stayed,True,True,True
