CD_CVM,DENOM_CIA,fiscal_year,period_end_date,filing_date,ID_DOC,source
18112,COMPANHIA DE BEBIDAS DAS AMÉRICAS-AMBEV,2011,2011-12-31,2012-03-08,14793,ibx_extension
18112,COMPANHIA DE BEBIDAS DAS AMÉRICAS-AMBEV,2012,2012-12-31,2013-02-27,24480,ibx_extension
22691,COMPANHIA DE LOCAÇÃO DAS AMÉRICAS,2010,2010-12-31,2012-05-15,17603,history_extension
22691,COMPANHIA DE LOCAÇÃO DAS AMÉRICAS,2011,2011-12-31,2012-05-15,17602,history_extension
22691,COMPANHIA DE LOCAÇÃO DAS AMÉRICAS,2012,2012-12-31,2013-03-13,24911,history_extension
22691,COMPANHIA DE LOCAÇÃO DAS AMÉRICAS,2013,2013-12-31,2014-03-20,35380,history_extension
22691,COMPANHIA DE LOCAÇÃO DAS AMÉRICAS,2014,2014-12-31,2015-03-25,45221,history_extension
4650,CONFAB INDUSTRIAL SA,2010,2010-12-31,2011-02-21,4858,ibx_extension
4650,CONFAB INDUSTRIAL SA,2011,2011-12-31,2012-02-16,14355,ibx_extension
21148,CONSTRUTORA TENDA S.A.,2010,2010-12-31,2011-03-28,5761,ibx_extension
21148,CONSTRUTORA TENDA S.A.,2011,2011-12-31,2012-04-12,16161,ibx_extension
21148,CONSTRUTORA TENDA S.A.,2012,2012-12-31,2013-03-11,24846,ibx_extension
21148,CONSTRUTORA TENDA S.A.,2013,2013-12-31,2016-10-18,60083,ibx_extension
21148,CONSTRUTORA TENDA S.A.,2014,2014-12-31,2016-10-18,60084,ibx_extension
21148,CONSTRUTORA TENDA S.A.,2015,2015-12-31,2016-10-18,60085,ibx_extension
21148,CONSTRUTORA TENDA S.A.,2016,2016-12-31,2017-03-13,63107,ibx_extension
21148,CONSTRUTORA TENDA S.A.,2017,2017-12-31,2018-03-08,72100,ibx_extension
21148,CONSTRUTORA TENDA S.A.,2018,2018-12-31,2019-03-12,81135,ibx_extension
21148,CONSTRUTORA TENDA S.A.,2019,2019-12-31,2020-03-19,91671,ibx_extension
21148,CONSTRUTORA TENDA S.A.,2021,2021-12-31,2022-03-10,112437,ibx_extension
21148,CONSTRUTORA TENDA S.A.,2022,2022-12-31,2023-03-09,124040,ibx_extension
21148,CONSTRUTORA TENDA S.A.,2023,2023-03-31,2023-05-03,125703,ibx_extension
21148,CONSTRUTORA TENDA S.A.,2023,2023-12-31,2024-03-14,134774,ibx_extension
21148,CONSTRUTORA TENDA S.A.,2024,2024-12-31,2025-03-12,145353,ibx_extension
21148,CONSTRUTORA TENDA S.A.,2025,2025-12-31,2026-03-05,155118,ibx_extension
23485,COSAN LOGISTICA S.A.,2013,2013-12-31,2014-09-12,41264,ibx_extension
23485,COSAN LOGISTICA S.A.,2014,2014-12-31,2015-03-18,45059,ibx_extension
23485,COSAN LOGISTICA S.A.,2015,2015-12-31,2016-02-25,53658,ibx_extension
23485,COSAN LOGISTICA S.A.,2016,2016-12-31,2017-02-21,62668,ibx_extension
23485,COSAN LOGISTICA S.A.,2017,2017-12-31,2018-03-26,72680,ibx_extension
23485,COSAN LOGISTICA S.A.,2018,2018-12-31,2019-02-13,80646,ibx_extension
